2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2757
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S881
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S122
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1780
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1142
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1264
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1781
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S121
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1144
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1541
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1145
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1784
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1301
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2115
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S108
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S107
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S104
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S105
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S103
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1808
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S907
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S905
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1656
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1536
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1779
